"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"PILITA",0,7.38,8.32,0,0,0,12.74,18.18,""
"ASIANTILES",0,73.59,74.83,0,0,0,1.69,2.39,""
"JYOTISTRUC",0,13.08,13.22,0,0,0,1.07,0.69,""
"VMSTMT",682,46.7,47.17,31848.73,32169.94,321.21,1.01,1.22,""
"DEN",1867,29,29.24,54148.01,54591.08,443.07,0.82,1.14,""
"RANASUG",2481,14.3,14.39,35471.83,35701.59,229.76,0.65,1.2,""
"3IINFOLTD",1838,17.35,17.46,31889.3,32091.48,202.18,0.63,0.75,""
"PRSMJOHNSN",0,125.96,126.65,0,0,0,0.55,1.89,""
"DIGIDRIVE",1108,23.48,23.55,26017.76,26093.4,75.64,0.29,5.18,""
"VARDHACRLC",678,36.85,36.95,24984.3,25052.1,67.8,0.27,1.01,""
"CUBEXTUB",232,94.9,95.15,22016.8,22074.8,58,0.26,0.38,""
"MOL",482,53.6,53.58,25835.2,25825.56,-9.64,-0.04,1.48,""
"LATTEYS",1197,22.4,22.31,26812.8,26705.07,-107.73,-0.4,-1.15,""
"PLAZACABLE",726,40.31,40.06,29264.16,29083.56,-180.6,-0.62,-0.64,""
"BHARATGEAR",279,115.21,113,32144.01,31527,-617.01,-1.92,-0.91,""
"BTML",5770,6.79,6.51,39171.92,37562.7,-1609.22,-4.11,-1.06,""
"RKEC",809,43.51,41.56,35200.89,33622.04,-1578.85,-4.49,1.09,""
