symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
FLAIR,INE00Y201027,2026-03-19,NSE,EQ,EQ,sell,false,1.000000,310.000000,200077915,1100000000426226,2026-03-19T09:15:05
FLAIR,INE00Y201027,2026-03-19,NSE,EQ,EQ,sell,false,15.000000,310.000000,200077916,1100000000426226,2026-03-19T09:15:05
FLAIR,INE00Y201027,2026-03-19,NSE,EQ,EQ,sell,false,20.000000,308.899994,200077917,1100000000426226,2026-03-19T09:15:05
SPORTKING,INE885H01029,2026-03-19,NSE,EQ,EQ,sell,false,58.000000,113.279999,600056065,1300000000375836,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,1.000000,197.479996,400067343,1200000000310078,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,1.000000,197.479996,400140146,1200000000310078,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,2.000000,197.479996,400128380,1200000000310078,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,2.000000,197.479996,400154682,1200000000310078,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,25.000000,197.479996,400098528,1200000000310078,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,31.000000,197.990005,400154699,1200000000310074,2026-03-19T09:15:07
NAHARSPING,INE290A01027,2026-03-19,NSE,EQ,EQ,sell,false,5.000000,197.479996,400136925,1200000000310078,2026-03-19T09:15:07
APEX,INE346W01013,2026-03-19,NSE,EQ,EQ,sell,false,31.000000,356.450012,96039,1000000000332637,2026-03-19T09:15:10
JARO,INE00YJ01010,2026-03-19,NSE,EQ,EQ,sell,false,23.000000,473.450012,200141165,1100000000752928,2026-03-19T09:15:23
TVSELECT,INE236G01019,2026-03-19,NSE,EQ,EQ,sell,false,16.000000,398.549988,600214047,1300000000645393,2026-03-19T09:15:26
TVSELECT,INE236G01019,2026-03-19,NSE,EQ,EQ,sell,false,15.000000,394.549988,600136643,1300000000726190,2026-03-19T09:15:32
ACMESOLAR,INE622W01025,2026-03-19,NSE,EQ,EQ,sell,false,26.000000,259.299988,928890,1000000008629778,2026-03-19T09:32:06
ACMESOLAR,INE622W01025,2026-03-19,NSE,EQ,EQ,sell,false,50.000000,259.299988,928847,1000000008629778,2026-03-19T09:32:06
ACMESOLAR,INE622W01025,2026-03-19,NSE,EQ,EQ,sell,false,9.000000,259.299988,928037,1000000008629778,2026-03-19T09:32:06
JARO,INE00YJ01010,2026-03-19,NSE,EQ,EQ,sell,false,13.000000,471.100006,202728495,1100000024079599,2026-03-19T10:02:21
SUNTV,INE424H01027,2026-03-19,BSE,EQ,A,sell,false,4.000000,605.599976,2494300,1773894709095578479,2026-03-19T11:00:46
SUNTV,INE424H01027,2026-03-19,BSE,EQ,A,sell,false,9.000000,605.650024,2494100,1773894709095578479,2026-03-19T11:00:46
TVSELECT,INE236G01019,2026-03-19,NSE,EQ,EQ,buy,false,24.000000,393.000000,603808729,1300000046459258,2026-03-19T11:53:05
TVSELECT,INE236G01019,2026-03-19,NSE,EQ,EQ,buy,false,7.000000,392.950012,603808728,1300000046459258,2026-03-19T11:53:05
PARKHOTELS,INE988S01028,2026-03-19,NSE,EQ,EQ,buy,false,39.000000,113.290001,403852689,1200000047482467,2026-03-19T12:31:19
PARKHOTELS,INE988S01028,2026-03-19,NSE,EQ,EQ,buy,false,47.000000,113.300003,403852690,1200000047482467,2026-03-19T12:31:19
PARKHOTELS,INE988S01028,2026-03-19,NSE,EQ,EQ,buy,false,8.000000,113.300003,403852691,1200000047482467,2026-03-19T12:31:19
CAPACITE,INE264T01014,2026-03-19,NSE,EQ,EQ,buy,false,11.000000,230.800003,3950055,1000000047619407,2026-03-19T12:31:40
CAPACITE,INE264T01014,2026-03-19,NSE,EQ,EQ,buy,false,1.000000,230.800003,3950056,1000000047619407,2026-03-19T12:31:40
CAPACITE,INE264T01014,2026-03-19,NSE,EQ,EQ,buy,false,31.000000,230.880005,3950057,1000000047619407,2026-03-19T12:31:40
CAPACITE,INE264T01014,2026-03-19,NSE,EQ,EQ,buy,false,3.000000,230.800003,3950054,1000000047619407,2026-03-19T12:31:40
STARCEMENT,INE460H01021,2026-03-19,NSE,EQ,EQ,buy,false,1.000000,211.860001,604521227,1300000056164310,2026-03-19T12:31:48
STARCEMENT,INE460H01021,2026-03-19,NSE,EQ,EQ,buy,false,1.000000,211.869995,604521229,1300000056164310,2026-03-19T12:31:48
STARCEMENT,INE460H01021,2026-03-19,NSE,EQ,EQ,buy,false,1.000000,211.869995,604521232,1300000056164310,2026-03-19T12:31:48
STARCEMENT,INE460H01021,2026-03-19,NSE,EQ,EQ,buy,false,1.000000,211.880005,604521234,1300000056164310,2026-03-19T12:31:48
STARCEMENT,INE460H01021,2026-03-19,NSE,EQ,EQ,buy,false,1.000000,211.889999,604521235,1300000056164310,2026-03-19T12:31:48
